scenario_id,wt_cell_id,sca_cell_id,wt_animal_id,sca_animal_id,wt_solution_key,sca_solution_key,wt_source,sca_source,wt_b,wt_r,wt_s,wt_kappa_I,sca_b,sca_r,sca_s,sca_kappa_I,wt_rheobase_J_endpoint,sca_rheobase_J_endpoint,wt_J_q75,sca_J_q75,wt_active_support_ms,sca_active_support_ms,wt_within_cell_support_weight,sca_within_cell_support_weight,biological_pair_weight,within_pair_support_weight,scenario_weight,biological_pair_key
40,WT_03,SCA3_04,NA_NOT_RECOVERABLE,SCA3_AN01,r_LOW,kappa_I_LOW,r_LOW,kappa_I_LOW,3.081503153649818,0.0001448331937952,1.3252208956501612,0.4839416860472601,4.537119540928005,0.0633243055488632,0.8420821742217344,0.0411814643655073,1.8237926924463608,3.3775582742866086,2.8949017104544605,6.138782334394186,993.6197265625,141.5189453124997,0.25,0.1666666666666666,0.0138888888888888,0.0416666666666666,0.0005787037037037,WT_03__TO__SCA3_04
41,WT_03,SCA3_05,NA_NOT_RECOVERABLE,SCA3_AN01,r_LOW,best,r_LOW,best,3.081503153649818,0.0001448331937952,1.3252208956501612,0.4839416860472601,4.57048885142292,0.0267222541757113,1.35804074575354,0.185485356173587,1.8237926924463608,2.302301394566596,2.8949017104544605,4.546011286576872,993.6197265625,582.584375,0.25,0.1428571428571428,0.0138888888888888,0.0357142857142857,0.0004960317460317,WT_03__TO__SCA3_05
42,WT_03,SCA3_05,NA_NOT_RECOVERABLE,SCA3_AN01,r_LOW,b_LOW,r_LOW,b_LOW,3.081503153649818,0.0001448331937952,1.3252208956501612,0.4839416860472601,3.904773796769174,0.0030137674775441,5.020370133081688,0.354246301933337,1.8237926924463608,2.4884155791573086,2.8949017104544605,4.546011286576872,993.6197265625,582.584375,0.25,0.1428571428571428,0.0138888888888888,0.0357142857142857,0.0004960317460317,WT_03__TO__SCA3_05
43,WT_03,SCA3_05,NA_NOT_RECOVERABLE,SCA3_AN01,r_LOW,r_LOW,r_LOW,r_LOW,3.081503153649818,0.0001448331937952,1.3252208956501612,0.4839416860472601,4.932184173036958,0.0006480540018362,4.36161393974913,0.3323480760746279,1.8237926924463608,2.471182784287799,2.8949017104544605,4.546011286576872,993.6197265625,582.584375,0.25,0.1428571428571428,0.0138888888888888,0.0357142857142857,0.0004960317460317,WT_03__TO__SCA3_05
44,WT_03,SCA3_05,NA_NOT_RECOVERABLE,SCA3_AN01,r_LOW,r_HIGH,r_LOW,r_HIGH,3.081503153649818,0.0001448331937952,1.3252208956501612,0.4839416860472601,4.017092229938917,0.0590798966523011,1.6494085627972792,0.2942362699849268,1.8237926924463608,2.2781754817492814,2.8949017104544605,4.546011286576872,993.6197265625,582.584375,0.25,0.1428571428571428,0.0138888888888888,0.0357142857142857,0.0004960317460317,WT_03__TO__SCA3_05
45,WT_03,SCA3_05,NA_NOT_RECOVERABLE,SCA3_AN01,r_LOW,s_HIGH,r_LOW,s_HIGH,3.081503153649818,0.0001448331937952,1.3252208956501612,0.4839416860472601,4.864054646667115,0.0006776655975539,4.3731695928770025,0.3378768246610932,1.8237926924463608,2.443610312496582,2.8949017104544605,4.546011286576872,993.6197265625,582.584375,0.25,0.1428571428571428,0.0138888888888888,0.0357142857142857,0.0004960317460317,WT_03__TO__SCA3_05
46,WT_03,SCA3_05,NA_NOT_RECOVERABLE,SCA3_AN01,r_LOW,kappa_I_LOW,r_LOW,kappa_I_LOW,3.081503153649818,0.0001448331937952,1.3252208956501612,0.4839416860472601,4.791687949288009,0.0542314160920349,0.7987933030433494,0.0480561856737695,1.8237926924463608,2.27472892277538,2.8949017104544605,4.546011286576872,993.6197265625,582.584375,0.25,0.1428571428571428,0.0138888888888888,0.0357142857142857,0.0004960317460317,WT_03__TO__SCA3_05
47,WT_03,SCA3_05,NA_NOT_RECOVERABLE,SCA3_AN01,r_LOW,kappa_I_HIGH,r_LOW,kappa_I_HIGH,3.081503153649818,0.0001448331937952,1.3252208956501612,0.4839416860472601,2.7246783396644254,0.0591584594723072,7.181695318183479,0.7580592364653818,1.8237926924463608,2.44016375352268,2.8949017104544605,4.546011286576872,993.6197265625,582.584375,0.25,0.1428571428571428,0.0138888888888888,0.0357142857142857,0.0004960317460317,WT_03__TO__SCA3_05
48,WT_03,SCA3_06,NA_NOT_RECOVERABLE,SCA3_AN02,r_LOW,best,r_LOW,best,3.081503153649818,0.0001448331937952,1.3252208956501612,0.4839416860472601,3.32112664756946,0.000172535267681,1.80693033257445,0.113660442709963,1.8237926924463608,5.238728290213989,2.8949017104544605,6.83625257651551,993.6197265625,940.8140625,0.25,1.0,0.0138888888888888,0.25,0.0034722222222222,WT_03__TO__SCA3_06
49,WT_03,SCA3_09,NA_NOT_RECOVERABLE,SCA3_AN02,r_LOW,best,r_LOW,best,3.081503153649818,0.0001448331937952,1.3252208956501612,0.4839416860472601,3.56794792056019,0.0001570401851009,1.28766365576524,0.15770178132879,1.8237926924463608,2.2595007918063086,2.8949017104544605,4.22069670379549,993.6197265625,835.3968750000003,0.25,0.3333333333333333,0.0138888888888888,0.0833333333333333,0.0011574074074074,WT_03__TO__SCA3_09
50,WT_03,SCA3_09,NA_NOT_RECOVERABLE,SCA3_AN02,r_LOW,b_LOW,r_LOW,b_LOW,3.081503153649818,0.0001448331937952,1.3252208956501612,0.4839416860472601,2.343229745087469,0.0707211746046489,9.492341680611522,0.933669175891253,1.8237926924463608,2.224592773955368,2.8949017104544605,4.22069670379549,993.6197265625,835.3968750000003,0.25,0.3333333333333333,0.0138888888888888,0.0833333333333333,0.0011574074074074,WT_03__TO__SCA3_09
51,WT_03,SCA3_09,NA_NOT_RECOVERABLE,SCA3_AN02,r_LOW,kappa_I_HIGH,r_LOW,kappa_I_HIGH,3.081503153649818,0.0001448331937952,1.3252208956501612,0.4839416860472601,2.944433158643898,0.0709704363934802,5.596694353801012,0.9198341083125364,1.8237926924463608,2.0976545272246767,2.8949017104544605,4.22069670379549,993.6197265625,835.3968750000003,0.25,0.3333333333333333,0.0138888888888888,0.0833333333333333,0.0011574074074074,WT_03__TO__SCA3_09
52,WT_03,SCA3_01,NA_NOT_RECOVERABLE,SCA3_AN01,s_HIGH,best,s_HIGH,best,3.0980843953266954,0.0001196405471698,2.691017994543842,0.5219626851112664,2.87957486763608,0.0367840866590933,0.666593864674466,0.072414473059144,1.7444170995564887,7.364185581249652,2.8949017104544605,8.468813418437104,993.6197265625,872.4000000000001,0.25,0.5,0.0138888888888888,0.125,0.0017361111111111,WT_03__TO__SCA3_01
53,WT_03,SCA3_01,NA_NOT_RECOVERABLE,SCA3_AN01,s_HIGH,r_HIGH,s_HIGH,r_HIGH,3.0980843953266954,0.0001196405471698,2.691017994543842,0.5219626851112664,4.180844445717766,0.098238929690672,1.4104174994872096,0.0928534941582593,1.7444170995564887,7.018989382128574,2.8949017104544605,8.468813418437104,993.6197265625,872.4000000000001,0.25,0.5,0.0138888888888888,0.125,0.0017361111111111,WT_03__TO__SCA3_01
54,WT_03,SCA3_02,NA_NOT_RECOVERABLE,SCA3_AN01,s_HIGH,best,s_HIGH,best,3.0980843953266954,0.0001196405471698,2.691017994543842,0.5219626851112664,3.39580213794053,0.011865463263355,1.06199021527079,0.134917346653611,1.7444170995564887,0.9278531747632068,2.8949017104544605,8.149643718336852,993.6197265625,642.1359374999932,0.25,0.1428571428571428,0.0138888888888888,0.0357142857142857,0.0004960317460317,WT_03__TO__SCA3_02
